age,gender,department,jobrole,monthlyincome,yearsatcompany,experience_group,overtime,attrition,attrition_flag
34,Female,Sales,Sales Executive,6538,3,3-5 years,No,No,0
31,Female,Research & Development,Manufacturing Director,4306,13,10+ years,No,No,0
43,Male,Research & Development,Laboratory Technician,2258,3,3-5 years,No,No,0
43,Female,Research & Development,Healthcare Representative,4522,5,3-5 years,Yes,No,0
25,Female,Sales,Sales Executive,4487,5,3-5 years,Yes,No,0
37,Female,Research & Development,Research Scientist,4449,13,10+ years,Yes,No,0
31,Male,Research & Development,Laboratory Technician,2218,4,3-5 years,No,No,0
39,Male,Research & Development,Manager,19197,21,10+ years,Yes,No,0
56,Female,Sales,Sales Executive,13212,7,6-10 years,No,No,0
30,Female,Sales,Sales Executive,6577,5,3-5 years,No,No,0
41,Male,Sales,Sales Executive,8392,10,6-10 years,No,No,0
28,Male,Research & Development,Laboratory Technician,4558,10,6-10 years,No,No,0
25,Male,Research & Development,Laboratory Technician,4031,2,0-2 years,No,Yes,1
52,Male,Research & Development,Manufacturing Director,7969,5,3-5 years,Yes,No,0
45,Male,Research & Development,Research Scientist,2654,2,0-2 years,No,No,0
52,Female,Research & Development,Manager,16555,5,3-5 years,No,No,0
42,Female,Research & Development,Research Scientist,4556,5,3-5 years,No,No,0
30,Female,Research & Development,Manufacturing Director,6091,5,3-5 years,No,No,0
60,Female,Research & Development,Manager,19566,29,10+ years,No,No,0
46,Female,Research & Development,Manufacturing Director,4810,10,6-10 years,No,No,0
42,Female,Research & Development,Healthcare Representative,4523,6,6-10 years,No,No,0
24,Female,Sales,Sales Representative,3202,5,3-5 years,Yes,Yes,1
34,Female,Sales,Sales Representative,2351,2,0-2 years,No,Yes,1
38,Male,Research & Development,Laboratory Technician,1702,1,0-2 years,Yes,No,0
40,Female,Sales,Manager,18041,20,10+ years,No,No,0
26,Female,Research & Development,Research Scientist,2886,3,3-5 years,No,No,0
30,Male,Research & Development,Laboratory Technician,2097,5,3-5 years,No,No,0
29,Male,Research & Development,Research Director,11935,10,6-10 years,No,No,0
29,Female,Research & Development,Research Scientist,2546,2,0-2 years,No,Yes,1
19,Male,Human Resources,Human Resources,2564,1,0-2 years,No,Yes,1
30,Female,Sales,Sales Executive,8412,9,6-10 years,No,No,0
57,Male,Sales,Manager,14118,1,0-2 years,No,No,0
50,Male,Research & Development,Manager,17046,27,10+ years,No,No,0
30,Female,Research & Development,Laboratory Technician,2564,11,10+ years,No,No,0
60,Female,Sales,Sales Executive,10266,18,10+ years,No,No,0
47,Female,Research & Development,Manufacturing Director,5070,5,3-5 years,No,No,0
46,Male,Research & Development,Research Director,17861,3,3-5 years,No,No,0
35,Male,Research & Development,Laboratory Technician,4230,5,3-5 years,No,No,0
54,Female,Research & Development,Laboratory Technician,3780,1,0-2 years,No,No,0
34,Male,Research & Development,Research Scientist,2768,7,6-10 years,No,No,0
46,Female,Sales,Sales Executive,9071,3,3-5 years,Yes,No,0
31,Male,Research & Development,Manufacturing Director,10648,13,10+ years,No,No,0
33,Male,Research & Development,Manager,13610,7,6-10 years,Yes,Yes,1
33,Male,Research & Development,Laboratory Technician,3408,4,3-5 years,No,Yes,1
30,Male,Sales,Sales Representative,2983,3,3-5 years,No,No,0
35,Male,Research & Development,Healthcare Representative,7632,8,6-10 years,Yes,No,0
31,Male,Research & Development,Healthcare Representative,9824,1,0-2 years,No,Yes,1
34,Female,Human Resources,Human Resources,9950,3,3-5 years,Yes,Yes,1
42,Male,Research & Development,Laboratory Technician,2093,2,0-2 years,No,No,0
36,Male,Sales,Sales Executive,9980,10,6-10 years,No,No,0
22,Male,Research & Development,Laboratory Technician,3894,2,0-2 years,No,Yes,1
48,Female,Sales,Sales Executive,4051,9,6-10 years,No,No,0
55,Female,Sales,Manager,16835,10,6-10 years,No,No,0
41,Male,Sales,Sales Executive,6230,14,10+ years,No,No,0
35,Male,Sales,Sales Executive,4717,11,10+ years,No,No,0
40,Female,Research & Development,Manufacturing Director,13237,20,10+ years,No,No,0
39,Female,Research & Development,Laboratory Technician,3755,8,6-10 years,No,No,0
31,Male,Sales,Sales Executive,6582,6,6-10 years,Yes,No,0
42,Male,Research & Development,Manufacturing Director,7406,10,6-10 years,Yes,No,0
45,Male,Sales,Sales Executive,4805,8,6-10 years,No,No,0
26,Female,Human Resources,Human Resources,2741,7,6-10 years,Yes,Yes,1
29,Male,Research & Development,Manufacturing Director,4262,3,3-5 years,No,No,0
33,Female,Research & Development,Research Director,16184,6,6-10 years,No,No,0
31,Male,Sales,Manager,11557,5,3-5 years,No,No,0
18,Male,Sales,Sales Representative,1878,0,,Yes,Yes,1
40,Male,Sales,Sales Executive,10932,1,0-2 years,No,No,0
41,Female,Research & Development,Healthcare Representative,6811,8,6-10 years,Yes,No,0
26,Male,Sales,Sales Executive,4306,0,,No,No,0
35,Female,Sales,Sales Executive,4859,5,3-5 years,No,No,0
34,Male,Sales,Sales Executive,5337,10,6-10 years,No,No,0
26,Male,Research & Development,Laboratory Technician,2340,1,0-2 years,Yes,Yes,1
37,Female,Research & Development,Manufacturing Director,7491,6,6-10 years,No,No,0
46,Female,Research & Development,Healthcare Representative,10527,2,0-2 years,No,No,0
41,Female,Sales,Manager,16595,18,10+ years,No,No,0
37,Male,Sales,Sales Executive,8834,9,6-10 years,No,No,0
52,Male,Research & Development,Research Scientist,5577,10,6-10 years,Yes,No,0
32,Male,Sales,Sales Executive,4707,4,3-5 years,No,Yes,1
24,Male,Sales,Sales Representative,2400,2,0-2 years,No,No,0
38,Female,Research & Development,Healthcare Representative,9824,1,0-2 years,No,No,0
37,Female,Research & Development,Manufacturing Director,6447,6,6-10 years,No,No,0
49,Male,Research & Development,Research Director,19502,31,10+ years,Yes,No,0
24,Male,Research & Development,Research Scientist,2725,6,6-10 years,Yes,No,0
26,Male,Sales,Sales Executive,6272,5,3-5 years,No,No,0
24,Male,Research & Development,Laboratory Technician,2127,1,0-2 years,No,No,0
50,Male,Human Resources,Manager,18200,32,10+ years,No,No,0
25,Male,Sales,Sales Representative,2096,7,6-10 years,No,No,0
24,Female,Research & Development,Laboratory Technician,2886,6,6-10 years,Yes,Yes,1
30,Male,Sales,Sales Representative,2033,1,0-2 years,No,Yes,1
34,Male,Research & Development,Research Scientist,3622,6,6-10 years,Yes,No,0
31,Male,Sales,Sales Executive,4233,3,3-5 years,No,Yes,1
35,Male,Research & Development,Laboratory Technician,3681,3,3-5 years,No,No,0
31,Male,Sales,Sales Executive,5460,7,6-10 years,No,No,0
27,Female,Research & Development,Research Scientist,2187,5,3-5 years,No,No,0
37,Male,Sales,Sales Executive,9602,3,3-5 years,Yes,No,0
20,Female,Research & Development,Research Scientist,2836,1,0-2 years,No,No,0
42,Female,Research & Development,Healthcare Representative,4089,10,6-10 years,No,No,0
43,Male,Research & Development,Research Director,16627,1,0-2 years,Yes,No,0
38,Female,Research & Development,Research Scientist,2619,0,,No,No,0
43,Male,Research & Development,Laboratory Technician,5679,8,6-10 years,Yes,No,0
48,Female,Research & Development,Manager,15402,3,3-5 years,No,No,0
44,Female,Human Resources,Human Resources,5985,2,0-2 years,No,No,0
34,Female,Sales,Sales Representative,2579,8,6-10 years,Yes,No,0
27,Male,Sales,Sales Representative,3041,4,3-5 years,No,Yes,1
21,Male,Sales,Sales Representative,3447,3,3-5 years,No,No,0
44,Male,Research & Development,Manager,19513,2,0-2 years,Yes,No,0
22,Male,Research & Development,Research Scientist,2773,2,0-2 years,No,No,0
33,Male,Sales,Sales Executive,7104,5,3-5 years,No,No,0
32,Female,Research & Development,Research Scientist,6322,6,6-10 years,Yes,No,0
30,Female,Research & Development,Research Scientist,2083,1,0-2 years,No,No,0
53,Female,Sales,Sales Executive,8381,14,10+ years,No,No,0
34,Male,Research & Development,Research Scientist,2691,10,6-10 years,No,No,0
45,Female,Sales,Sales Executive,4286,1,0-2 years,No,Yes,1
26,Female,Research & Development,Laboratory Technician,2659,3,3-5 years,Yes,No,0
37,Male,Research & Development,Manufacturing Director,9434,10,6-10 years,No,No,0
29,Female,Sales,Sales Executive,5561,6,6-10 years,No,No,0
35,Male,Research & Development,Research Scientist,6646,17,10+ years,No,No,0
33,Male,Research & Development,Healthcare Representative,7725,13,10+ years,No,No,0
54,Male,Human Resources,Human Resources,10725,9,6-10 years,No,No,0
36,Male,Research & Development,Manufacturing Director,8847,3,3-5 years,Yes,No,0
27,Male,Research & Development,Research Scientist,2045,4,3-5 years,No,No,0
20,Male,Research & Development,Research Scientist,1009,1,0-2 years,Yes,Yes,1
33,Male,Research & Development,Research Scientist,3348,10,6-10 years,Yes,Yes,1
35,Male,Research & Development,Laboratory Technician,1281,1,0-2 years,No,No,0
23,Male,Research & Development,Research Scientist,2819,3,3-5 years,No,No,0
25,Male,Sales,Sales Executive,4851,3,3-5 years,No,No,0
38,Female,Sales,Sales Executive,4028,7,6-10 years,No,No,0
29,Male,Research & Development,Research Scientist,2720,10,6-10 years,No,No,0
48,Male,Sales,Sales Executive,8120,2,0-2 years,No,No,0
27,Female,Sales,Sales Executive,4647,6,6-10 years,Yes,No,0
37,Male,Research & Development,Research Scientist,4680,1,0-2 years,No,No,0
50,Male,Research & Development,Laboratory Technician,3221,20,10+ years,Yes,No,0
34,Female,Research & Development,Healthcare Representative,8621,8,6-10 years,No,No,0
24,Female,Sales,Sales Executive,4577,2,0-2 years,No,Yes,1
39,Female,Research & Development,Healthcare Representative,4553,20,10+ years,No,No,0
32,Male,Sales,Sales Executive,5396,10,6-10 years,No,No,0
50,Male,Sales,Sales Executive,6796,4,3-5 years,Yes,Yes,1
38,Female,Research & Development,Healthcare Representative,7625,9,6-10 years,No,No,0
27,Female,Research & Development,Manufacturing Director,7412,9,6-10 years,No,No,0
32,Female,Research & Development,Research Director,11159,7,6-10 years,No,No,0
47,Male,Sales,Sales Executive,4960,7,6-10 years,No,No,0
40,Male,Sales,Sales Executive,10475,18,10+ years,Yes,No,0
53,Male,Research & Development,Research Director,14814,5,3-5 years,No,No,0
41,Male,Human Resources,Manager,19141,21,10+ years,No,No,0
60,Male,Sales,Sales Executive,5405,2,0-2 years,No,No,0
27,Male,Research & Development,Manufacturing Director,8793,9,6-10 years,No,No,0
41,Male,Human Resources,Manager,19189,22,10+ years,No,No,0
50,Male,Sales,Sales Representative,3875,2,0-2 years,No,No,0
28,Female,Research & Development,Research Scientist,2216,7,6-10 years,Yes,Yes,1
36,Female,Research & Development,Research Director,11713,8,6-10 years,No,No,0
38,Female,Research & Development,Manufacturing Director,7861,1,0-2 years,Yes,No,0
44,Male,Research & Development,Laboratory Technician,3708,5,3-5 years,No,No,0
47,Female,Sales,Sales Executive,13770,22,10+ years,Yes,No,0
30,Male,Sales,Sales Executive,5304,8,6-10 years,No,No,0
29,Male,Sales,Sales Representative,2642,1,0-2 years,No,No,0
42,Male,Research & Development,Research Scientist,2759,2,0-2 years,Yes,Yes,1
43,Male,Sales,Sales Executive,6804,2,0-2 years,No,No,0
34,Female,Research & Development,Healthcare Representative,6142,5,3-5 years,No,No,0
23,Male,Research & Development,Laboratory Technician,2500,4,3-5 years,No,No,0
39,Female,Human Resources,Human Resources,6389,8,6-10 years,No,No,0
56,Male,Research & Development,Healthcare Representative,11103,10,6-10 years,No,No,0
40,Female,Research & Development,Research Scientist,2342,4,3-5 years,Yes,No,0
27,Female,Research & Development,Healthcare Representative,6811,7,6-10 years,No,No,0
29,Male,Sales,Sales Representative,2297,2,0-2 years,No,No,0
53,Male,Research & Development,Laboratory Technician,2450,2,0-2 years,No,No,0
35,Female,Research & Development,Healthcare Representative,5093,1,0-2 years,No,No,0
32,Male,Research & Development,Laboratory Technician,5309,10,6-10 years,No,No,0
38,Male,Research & Development,Research Scientist,3057,1,0-2 years,Yes,No,0
34,Female,Research & Development,Manufacturing Director,5121,0,,No,No,0
52,Male,Sales,Manager,16856,34,10+ years,No,No,0
33,Male,Research & Development,Research Scientist,2686,10,6-10 years,Yes,Yes,1
25,Female,Sales,Sales Executive,6180,6,6-10 years,No,No,0
45,Male,Sales,Sales Representative,6632,8,6-10 years,No,No,0
23,Male,Research & Development,Research Scientist,3505,2,0-2 years,No,No,0
47,Female,Sales,Sales Executive,6397,5,3-5 years,Yes,Yes,1
34,Male,Sales,Sales Executive,6274,6,6-10 years,No,No,0
55,Male,Research & Development,Manager,19859,5,3-5 years,Yes,Yes,1
36,Male,Sales,Sales Executive,7587,10,6-10 years,No,No,0
52,Male,Research & Development,Research Scientist,4258,4,3-5 years,No,No,0
26,Female,Research & Development,Laboratory Technician,4364,2,0-2 years,No,No,0
29,Female,Research & Development,Healthcare Representative,4335,8,6-10 years,No,No,0
26,Male,Sales,Sales Executive,5326,4,3-5 years,No,Yes,1
34,Female,Research & Development,Research Scientist,3280,4,3-5 years,No,No,0
54,Female,Research & Development,Manufacturing Director,5485,5,3-5 years,Yes,No,0
27,Male,Sales,Sales Executive,4342,4,3-5 years,No,No,0
37,Female,Research & Development,Research Scientist,2782,5,3-5 years,Yes,No,0
38,Female,Research & Development,Manufacturing Director,5980,15,10+ years,Yes,No,0
34,Female,Research & Development,Research Scientist,4381,6,6-10 years,No,No,0
35,Female,Sales,Sales Representative,2572,3,3-5 years,No,No,0
30,Male,Research & Development,Laboratory Technician,3833,2,0-2 years,No,No,0
40,Female,Research & Development,Healthcare Representative,4244,8,6-10 years,No,No,0
34,Female,Sales,Sales Executive,6500,3,3-5 years,No,No,0
42,Male,Research & Development,Manager,18430,24,10+ years,No,No,0
23,Male,Research & Development,Laboratory Technician,1601,0,,Yes,Yes,1
24,Male,Research & Development,Laboratory Technician,2694,1,0-2 years,No,No,0
52,Female,Research & Development,Laboratory Technician,3149,5,3-5 years,No,No,0
50,Male,Research & Development,Research Director,17639,4,3-5 years,No,No,0
29,Female,Research & Development,Laboratory Technician,2319,1,0-2 years,Yes,Yes,1
33,Male,Research & Development,Research Director,11691,13,10+ years,No,No,0
33,Female,Sales,Sales Executive,5324,3,3-5 years,No,Yes,1
47,Female,Research & Development,Manager,16752,26,10+ years,Yes,No,0
36,Female,Research & Development,Manufacturing Director,5228,9,6-10 years,No,No,0
29,Male,Research & Development,Research Scientist,2700,10,6-10 years,No,No,0
58,Male,Research & Development,Research Director,19246,31,10+ years,Yes,Yes,1
35,Female,Research & Development,Research Scientist,2506,2,0-2 years,No,No,0
42,Female,Research & Development,Manufacturing Director,6062,4,3-5 years,Yes,No,0
28,Male,Research & Development,Research Scientist,4382,2,0-2 years,No,Yes,1
36,Male,Human Resources,Human Resources,2143,5,3-5 years,No,No,0
32,Female,Research & Development,Manufacturing Director,6162,14,10+ years,No,No,0
40,Male,Research & Development,Laboratory Technician,5094,1,0-2 years,No,No,0
30,Female,Research & Development,Manufacturing Director,6877,0,,Yes,No,0
45,Female,Research & Development,Research Scientist,2274,1,0-2 years,No,No,0
42,Male,Research & Development,Manufacturing Director,4434,9,6-10 years,No,No,0
38,Male,Research & Development,Healthcare Representative,6288,4,3-5 years,No,No,0
34,Female,Research & Development,Research Scientist,2553,5,3-5 years,No,No,0
49,Female,Sales,Sales Executive,7654,9,6-10 years,No,Yes,1
55,Male,Sales,Sales Executive,5160,9,6-10 years,No,Yes,1
43,Male,Research & Development,Research Director,17159,4,3-5 years,No,No,0
27,Male,Research & Development,Research Director,12808,9,6-10 years,Yes,No,0
35,Male,Research & Development,Manufacturing Director,10221,8,6-10 years,No,No,0
28,Female,Sales,Sales Executive,4779,8,6-10 years,Yes,No,0
34,Male,Human Resources,Human Resources,3737,3,3-5 years,No,No,0
26,Female,Research & Development,Research Scientist,2366,8,6-10 years,Yes,Yes,1
27,Male,Research & Development,Research Scientist,1706,0,,No,No,0
51,Female,Sales,Manager,16307,20,10+ years,No,No,0
44,Male,Research & Development,Healthcare Representative,5933,5,3-5 years,No,No,0
25,Male,Research & Development,Research Scientist,3424,4,3-5 years,No,No,0
33,Male,Sales,Sales Executive,4037,9,6-10 years,No,No,0
35,Female,Research & Development,Research Scientist,2559,6,6-10 years,No,No,0
36,Male,Sales,Sales Executive,6201,18,10+ years,Yes,No,0
32,Male,Sales,Sales Executive,4403,5,3-5 years,No,No,0
30,Male,Research & Development,Research Scientist,3761,5,3-5 years,No,No,0
53,Female,Sales,Sales Executive,10934,5,3-5 years,Yes,No,0
45,Male,Sales,Sales Executive,10761,5,3-5 years,Yes,No,0
32,Female,Research & Development,Research Scientist,5175,5,3-5 years,No,No,0
52,Female,Research & Development,Manufacturing Director,13826,9,6-10 years,No,No,0
37,Male,Sales,Sales Executive,6334,1,0-2 years,No,No,0
28,Male,Human Resources,Human Resources,4936,5,3-5 years,No,No,0
22,Male,Research & Development,Manufacturing Director,4775,2,0-2 years,No,No,0
44,Male,Research & Development,Laboratory Technician,2818,3,3-5 years,Yes,No,0
42,Male,Research & Development,Research Scientist,2515,2,0-2 years,Yes,No,0
36,Male,Human Resources,Human Resources,2342,5,3-5 years,No,No,0
25,Male,Sales,Sales Executive,4194,5,3-5 years,Yes,No,0
35,Female,Research & Development,Manufacturing Director,10685,17,10+ years,Yes,No,0
35,Female,Research & Development,Research Scientist,2022,10,6-10 years,Yes,Yes,1
32,Male,Research & Development,Laboratory Technician,2314,3,3-5 years,No,No,0
25,Male,Sales,Sales Executive,4256,5,3-5 years,No,No,0
49,Female,Research & Development,Research Scientist,3580,4,3-5 years,No,No,0
24,Male,Research & Development,Laboratory Technician,3162,5,3-5 years,No,No,0
32,Male,Sales,Sales Executive,6524,10,6-10 years,No,No,0
38,Male,Sales,Sales Representative,2899,2,0-2 years,No,No,0
42,Female,Research & Development,Laboratory Technician,5231,5,3-5 years,Yes,No,0
31,Male,Research & Development,Research Scientist,2356,6,6-10 years,Yes,No,0
29,Female,Sales,Sales Representative,2800,3,3-5 years,Yes,Yes,1
53,Male,Sales,Sales Executive,11836,2,0-2 years,No,No,0
35,Male,Research & Development,Manufacturing Director,10903,13,10+ years,No,No,0
37,Female,Sales,Sales Representative,2973,5,3-5 years,No,No,0
53,Female,Research & Development,Research Director,14275,12,10+ years,No,No,0
43,Female,Research & Development,Healthcare Representative,5562,5,3-5 years,No,No,0
47,Female,Sales,Sales Executive,4537,7,6-10 years,Yes,No,0
37,Male,Sales,Sales Executive,7642,10,6-10 years,Yes,No,0
50,Male,Research & Development,Manager,17924,31,10+ years,No,No,0
39,Female,Human Resources,Human Resources,5204,5,3-5 years,No,No,0
33,Male,Human Resources,Human Resources,2277,4,3-5 years,Yes,No,0
32,Male,Research & Development,Laboratory Technician,2795,1,0-2 years,Yes,Yes,1
29,Female,Research & Development,Laboratory Technician,2532,4,3-5 years,No,No,0
44,Male,Research & Development,Research Scientist,2559,8,6-10 years,Yes,No,0
28,Male,Sales,Sales Executive,4908,4,3-5 years,No,No,0
58,Male,Research & Development,Laboratory Technician,2380,1,0-2 years,Yes,Yes,1
43,Female,Research & Development,Manufacturing Director,4765,1,0-2 years,No,No,0
20,Female,Sales,Sales Representative,2044,2,0-2 years,No,Yes,1
21,Female,Research & Development,Research Scientist,2693,1,0-2 years,No,Yes,1
36,Male,Research & Development,Healthcare Representative,6586,16,10+ years,Yes,No,0
47,Female,Sales,Sales Representative,3294,3,3-5 years,Yes,No,0
22,Female,Research & Development,Manufacturing Director,4171,3,3-5 years,Yes,Yes,1
41,Female,Research & Development,Laboratory Technician,2778,7,6-10 years,Yes,Yes,1
28,Female,Research & Development,Research Scientist,2377,2,0-2 years,No,No,0
39,Male,Research & Development,Laboratory Technician,2404,2,0-2 years,Yes,Yes,1
27,Female,Research & Development,Research Scientist,2318,1,0-2 years,No,No,0
34,Male,Research & Development,Laboratory Technician,2008,1,0-2 years,No,No,0
42,Female,Sales,Sales Executive,6244,5,3-5 years,No,No,0
33,Male,Research & Development,Research Scientist,2799,3,3-5 years,Yes,No,0
58,Female,Research & Development,Healthcare Representative,10552,6,6-10 years,Yes,No,0
31,Male,Sales,Sales Representative,2329,7,6-10 years,No,No,0
35,Female,Research & Development,Healthcare Representative,4014,10,6-10 years,Yes,No,0
49,Female,Research & Development,Laboratory Technician,7403,26,10+ years,No,No,0
48,Male,Research & Development,Research Scientist,2259,0,,No,No,0
31,Female,Sales,Sales Executive,6932,9,6-10 years,No,No,0
36,Male,Research & Development,Research Scientist,4678,6,6-10 years,No,No,0
38,Female,Research & Development,Research Director,13582,15,10+ years,No,No,0
32,Female,Research & Development,Laboratory Technician,2332,3,3-5 years,No,No,0
25,Male,Sales,Sales Representative,2413,1,0-2 years,Yes,Yes,1
40,Male,Sales,Sales Executive,9705,1,0-2 years,No,No,0
26,Male,Sales,Sales Executive,4294,7,6-10 years,No,No,0
41,Male,Research & Development,Laboratory Technician,4721,18,10+ years,Yes,No,0
36,Male,Research & Development,Laboratory Technician,2519,11,10+ years,No,No,0
19,Male,Sales,Sales Representative,2121,1,0-2 years,Yes,Yes,1
20,Male,Research & Development,Laboratory Technician,2973,1,0-2 years,No,Yes,1
31,Female,Research & Development,Healthcare Representative,5855,9,6-10 years,Yes,No,0
40,Male,Research & Development,Research Scientist,3617,1,0-2 years,Yes,No,0
32,Female,Research & Development,Manufacturing Director,6725,8,6-10 years,No,No,0
36,Male,Sales,Sales Executive,10325,16,10+ years,Yes,Yes,1
33,Female,Research & Development,Healthcare Representative,6949,5,3-5 years,No,No,0
37,Male,Sales,Sales Executive,10609,14,10+ years,No,Yes,1
45,Male,Research & Development,Laboratory Technician,4447,9,6-10 years,No,No,0
29,Female,Sales,Sales Representative,2157,3,3-5 years,No,No,0
35,Female,Sales,Sales Executive,4601,5,3-5 years,No,No,0
52,Male,Research & Development,Manager,17099,9,6-10 years,No,No,0
58,Male,Research & Development,Research Scientist,2479,1,0-2 years,No,Yes,1
53,Male,Sales,Manager,14852,17,10+ years,No,No,0
30,Male,Sales,Sales Executive,7264,8,6-10 years,No,No,0
38,Female,Sales,Sales Executive,5666,5,3-5 years,Yes,No,0
35,Male,Sales,Sales Executive,7823,10,6-10 years,No,No,0
39,Male,Sales,Sales Executive,7880,8,6-10 years,No,No,0
40,Female,Sales,Sales Executive,13194,1,0-2 years,Yes,Yes,1
47,Male,Research & Development,Manufacturing Director,5067,19,10+ years,Yes,No,0
36,Male,Sales,Sales Executive,5079,7,6-10 years,No,No,0
31,Male,Research & Development,Research Scientist,2321,3,3-5 years,Yes,Yes,1
33,Male,Sales,Manager,17444,10,6-10 years,No,No,0
29,Female,Research & Development,Research Scientist,2404,0,,Yes,Yes,1
33,Female,Research & Development,Research Scientist,3452,3,3-5 years,No,No,0
45,Female,Research & Development,Laboratory Technician,2270,5,3-5 years,No,No,0
50,Male,Research & Development,Research Director,17399,5,3-5 years,No,No,0
33,Female,Research & Development,Healthcare Representative,5488,6,6-10 years,Yes,No,0
41,Male,Research & Development,Research Director,19419,18,10+ years,No,No,0
27,Female,Research & Development,Laboratory Technician,2811,2,0-2 years,No,No,0
45,Male,Research & Development,Laboratory Technician,3633,9,6-10 years,Yes,No,0
47,Female,Sales,Sales Executive,4163,9,6-10 years,Yes,No,0
30,Female,Research & Development,Research Scientist,2132,5,3-5 years,Yes,Yes,1
50,Male,Research & Development,Manufacturing Director,13973,12,10+ years,Yes,No,0
38,Male,Research & Development,Research Scientist,2684,2,0-2 years,No,No,0
46,Male,Research & Development,Manufacturing Director,10845,8,6-10 years,No,No,0
24,Female,Research & Development,Manufacturing Director,4377,4,3-5 years,No,No,0
35,Male,Research & Development,Laboratory Technician,3743,4,3-5 years,Yes,Yes,1
31,Female,Research & Development,Manufacturing Director,4148,4,3-5 years,No,No,0
18,Male,Research & Development,Research Scientist,1051,0,,No,No,0
54,Female,Research & Development,Manufacturing Director,10739,10,6-10 years,No,No,0
35,Female,Research & Development,Healthcare Representative,10388,16,10+ years,Yes,No,0
30,Female,Research & Development,Research Director,11416,8,6-10 years,Yes,No,0
20,Female,Research & Development,Research Scientist,2600,1,0-2 years,Yes,Yes,1
30,Female,Research & Development,Laboratory Technician,2422,3,3-5 years,No,Yes,1
26,Male,Research & Development,Manufacturing Director,5472,8,6-10 years,No,No,0
22,Male,Research & Development,Laboratory Technician,2451,4,3-5 years,No,No,0
48,Male,Research & Development,Healthcare Representative,4240,2,0-2 years,No,No,0
48,Male,Research & Development,Healthcare Representative,10999,15,10+ years,No,No,0
41,Female,Research & Development,Manufacturing Director,5003,2,0-2 years,No,No,0
39,Female,Research & Development,Manufacturing Director,12742,21,10+ years,No,No,0
27,Female,Research & Development,Manufacturing Director,4227,3,3-5 years,No,No,0
35,Male,Research & Development,Laboratory Technician,3917,3,3-5 years,No,No,0
42,Male,Sales,Manager,18303,1,0-2 years,No,No,0
50,Male,Research & Development,Laboratory Technician,2380,1,0-2 years,No,No,0
59,Female,Research & Development,Manufacturing Director,13726,5,3-5 years,Yes,No,0
37,Female,Research & Development,Healthcare Representative,4777,1,0-2 years,No,Yes,1
55,Male,Research & Development,Healthcare Representative,6385,8,6-10 years,Yes,No,0
41,Female,Research & Development,Research Director,19973,21,10+ years,No,No,0
38,Male,Sales,Sales Executive,6861,1,0-2 years,Yes,No,0
26,Male,Sales,Sales Executive,4969,2,0-2 years,No,Yes,1
52,Female,Sales,Manager,19845,32,10+ years,No,Yes,1
44,Female,Sales,Sales Executive,13320,12,10+ years,Yes,No,0
50,Female,Sales,Sales Executive,6347,18,10+ years,No,No,0
36,Female,Research & Development,Laboratory Technician,2743,17,10+ years,No,Yes,1
39,Female,Research & Development,Manufacturing Director,10880,21,10+ years,Yes,No,0
33,Female,Sales,Sales Representative,2342,2,0-2 years,No,No,0
45,Female,Sales,Manager,17650,9,6-10 years,No,No,0
32,Female,Research & Development,Laboratory Technician,4025,8,6-10 years,No,No,0
34,Male,Sales,Sales Executive,9725,15,10+ years,No,No,0
59,Male,Sales,Manager,11904,6,6-10 years,Yes,No,0
45,Male,Human Resources,Human Resources,2177,6,6-10 years,No,No,0
53,Female,Sales,Sales Executive,7525,15,10+ years,No,No,0
36,Male,Research & Development,Laboratory Technician,4834,1,0-2 years,No,Yes,1
26,Male,Research & Development,Research Scientist,2042,3,3-5 years,Yes,Yes,1
34,Female,Sales,Sales Representative,2220,1,0-2 years,Yes,No,0
28,Male,Sales,Sales Representative,1052,1,0-2 years,No,No,0
38,Male,Research & Development,Research Scientist,2821,2,0-2 years,No,No,0
50,Male,Research & Development,Research Director,19237,8,6-10 years,Yes,No,0
37,Female,Research & Development,Healthcare Representative,4107,4,3-5 years,No,No,0
40,Male,Sales,Sales Executive,8396,7,6-10 years,No,No,0
26,Female,Research & Development,Research Scientist,2007,5,3-5 years,No,No,0
46,Male,Research & Development,Research Director,19627,2,0-2 years,No,No,0
54,Female,Sales,Sales Executive,10686,9,6-10 years,No,No,0
56,Female,Research & Development,Research Scientist,2942,5,3-5 years,No,No,0
36,Female,Research & Development,Manufacturing Director,8858,14,10+ years,No,No,0
55,Male,Research & Development,Manager,16756,9,6-10 years,No,No,0
43,Male,Sales,Sales Executive,10798,1,0-2 years,No,No,0
20,Female,Sales,Sales Representative,2323,2,0-2 years,Yes,Yes,1
21,Female,Research & Development,Laboratory Technician,1416,1,0-2 years,No,Yes,1
46,Female,Research & Development,Research Scientist,4615,16,10+ years,Yes,No,0
51,Male,Research & Development,Research Scientist,2461,10,6-10 years,Yes,Yes,1
28,Male,Research & Development,Healthcare Representative,8722,10,6-10 years,No,Yes,1
26,Male,Research & Development,Laboratory Technician,3955,5,3-5 years,No,No,0
30,Male,Research & Development,Manufacturing Director,9957,6,6-10 years,No,No,0
41,Female,Research & Development,Research Scientist,3376,10,6-10 years,No,No,0
38,Female,Research & Development,Healthcare Representative,8823,19,10+ years,No,No,0
40,Male,Research & Development,Healthcare Representative,10322,11,10+ years,No,No,0
27,Male,Research & Development,Laboratory Technician,4621,3,3-5 years,No,No,0
